date,open,high,low,close,volume
2024-01-02,151.54,152.38,148.39,149.93,47339422
2024-01-03,149.2,151.05,148.33,148.47,49425500
2024-01-04,145.59,147.38,144.05,144.57,56039809
2024-01-05,144.69,146.59,144.53,145.24,45153152
2024-01-08,146.74,149.4,146.15,149.1,46757047
2024-01-09,148.33,151.71,148.21,151.37,43812566
2024-01-10,152.06,154.42,151.881,153.73,44421832
2024-01-11,155.04,157.17,153.12,155.18,49072688
2024-01-12,155.39,156.2,154.01,154.62,40484160
2024-01-16,153.53,154.99,152.15,153.16,41384641
2024-01-17,151.49,152.15,149.91,151.71,34953359
2024-01-18,152.77,153.775,151.82,153.5,37850246
2024-01-19,153.83,155.76,152.74,155.34,51651633
2024-01-22,156.89,157.05,153.9,154.78,43687473
2024-01-23,154.85,156.21,153.93,156.02,37986039
2024-01-24,157.8,158.51,156.48,156.87,48547320
2024-01-25,156.95,158.505,154.5501,157.75,43638594
2024-01-26,158.42,160.72,157.91,159.12,51047352
2024-01-29,159.34,161.29,158.9,161.26,45270391
2024-01-30,160.7,161.73,158.49,159,45207434
2024-01-31,157,159.01,154.81,155.2,50284367
2024-02-01,155.87,159.76,155.62,159.28,76542414
2024-02-02,169.19,172.5,167.33,171.81,117218305
2024-02-05,170.2,170.55,167.7,170.31,55081301
2024-02-06,169.39,170.71,167.65,169.15,42505520
2024-02-07,169.48,170.88,168.94,170.53,47174059
2024-02-08,169.65,171.43,168.88,169.84,42316449
2024-02-09,170.9,175,170.5803,174.45,56985992
2024-02-12,174.8,175.39,171.54,172.34,51050441
2024-02-13,167.73,170.95,165.75,168.64,56345121
2024-02-14,169.21,171.21,168.28,170.98,42815539
2024-02-15,170.58,171.17,167.59,169.8,49855199
2024-02-16,168.74,170.42,167.17,169.51,48107738
2024-02-20,167.83,168.71,165.74,167.08,41980328
2024-02-21,168.94,170.23,167.14,168.59,44575621
2024-02-22,173.1,174.8,171.77,174.58,55392352
2024-02-23,174.28,175.75,173.7,174.99,59715238
2024-02-26,175.7,176.37,174.26,174.73,44368609
2024-02-27,174.075,174.62,172.86,173.54,31141730
2024-02-28,172.44,174.05,172.27,173.16,28180480
2024-02-29,173.01,177.22,172.85,176.76,53805359
2024-03-01,176.75,178.725,176.07,178.22,31981152
